,0,1,2,3,4,5
0,0.0,2.9399095,2.133642,4.0593004,2.27897,3.0734134
1,0.0,0.023343608,2.3645127,1.6486567,3.682811,4.7905245
2,0.0,4.1652446,4.8459816,2.2159164,0.48362193,2.103871
3,0.0,3.5919085,2.668637,3.859416,2.2158206,2.4251027
4,0.0,4.94492,0.55789965,2.0431368,0.28838038,4.511269
5,0.0,0.2838608,1.799967,1.3691808,1.6693603,3.7226176
6,0.0,2.9969654,3.768453,0.8543289,0.53857815,4.3271813
7,0.0,4.550343,4.397745,3.4555852,0.668816,1.453939
8,0.0,4.1949816,4.592003,4.937773,2.7295885,2.6570578
9,2.0892713,3.883215,5.777369,3.7492921,4.0997143,1.1606319
10,0.0,1.6395224,2.1404073,0.9477477,0.45713642,4.3845983
11,0.0,4.3426223,5.6387057,2.7641945,1.3723285,0.9455011
12,0.0,3.1311507,3.5384548,1.3067098,0.4469184,1.8361431
13,0.56342137,3.9973001,4.971069,5.1590815,3.971237,1.8324995
14,0.0,4.2770658,4.727027,2.4271743,0.40582803,1.8176965
15,0.0,3.9947586,3.0768805,4.4128113,1.7309299,2.296053
16,0.0,3.977069,7.922307,3.3312466,3.0465453,0.81718934
17,0.0,2.8696895,3.4077594,0.8488728,0.2834265,4.5975456
18,0.0,3.9594598,3.0380104,4.506869,1.8909224,2.3524601
19,0.0,0.0,1.4900818,0.55398846,4.972034,3.359323
20,0.0,3.4258497,8.611215,1.6900872,3.8226228,3.5319653
21,0.0,3.1759372,6.526491,2.218376,2.48385,4.378303
22,0.0,3.7687712,2.733868,1.0905204,0.14423868,2.745967
23,0.0,0.98052835,1.8816371,0.96502364,0.663731,4.181387
24,0.0,3.9806237,2.557777,1.9953738,0.3466271,1.4727032
25,0.0,3.8729568,4.1139326,3.7180514,0.9639275,0.73314583
26,0.0,2.0452294,4.462474,0.79824483,1.273601,4.741538
27,0.36129344,1.3141955,1.3015268,3.5295622,3.4126275,2.7760022
28,0.09539663,4.221415,6.080582,3.7768688,2.3416169,0.53411794
29,0.49719608,2.780587,3.9840019,5.5843744,4.3832674,2.8649015
30,0.0,0.23809783,2.2364955,0.44040355,0.87969923,4.3647485
31,0.0,3.2895212,9.480386,2.014238,4.130504,2.6008296
32,0.0,2.9105482,2.203225,4.1310334,2.335219,3.105825
33,0.0,0.8141899,3.5216167,0.6259514,1.0509769,4.740661
34,0.0,0.0,1.9890819,0.50665,1.8539335,4.1628876
35,0.0,4.9233327,0.55407244,2.0442722,0.29209384,4.5057607
36,0.0,4.6690173,2.9604943,2.9265544,0.28011605,2.2060614
37,0.0,3.4599423,2.7921188,3.8063443,2.3915956,2.2939432
38,0.0,0.16543989,4.312607,1.7881112,2.649223,5.160221
39,0.0,4.5378017,4.1832,2.6826754,0.22013089,1.8343948
40,0.0,1.535887,7.3684998,2.181846,3.3839126,5.3503194
41,0.0,4.5443454,5.5932417,3.0750983,1.3201749,1.1906874
42,0.0,4.5390115,4.3963175,2.9173214,0.39427087,1.6426108
43,0.0,4.6629257,4.7296014,4.1409283,2.1607423,1.5076454
44,0.0,3.0355442,7.4964104,1.8835859,2.4236958,1.7749324
45,0.0,4.4668145,4.317835,2.828637,0.2796887,1.8774958
46,0.054799072,4.795523,5.6585727,4.278091,2.8004587,1.1406
